SourceFile,Title,Artist,Model,Description,Label,ImageHeight,ImageWidth
Origami/20230430_091602.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091734.jpg,,Jo Nakashima,SM-G9900,,,2252,4000
Origami/20230430_091756.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091804.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091807.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091810.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091820.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091837.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091841.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091853.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091917.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091937.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_091939.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_092006.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_092031.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_092034.jpg,,,SM-G9900,,,2252,4000
Origami/20230430_121029.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210329.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210354.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210425.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210439.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210726.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210751.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210805.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210833.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210905.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210941.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_210958.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_211108.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_211401.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_211727.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_211920.jpg,,,SM-G9900,,,2252,4000
Origami/20230504_211927.jpg,,,SM-G9900,,,2252,4000
Origami/20230507_172449.jpg,,,SM-G9900,,,2252,4000
Origami/20230507_172536.jpg,,,SM-G9900,,,2252,4000
Origami/20230507_172550.jpg,,,SM-G9900,,,2252,4000
Origami/20230507_172554.jpg,,,SM-G9900,,,2252,4000
Origami/20230507_172558.jpg,,,SM-G9900,,,2252,4000
Origami/20230507_172609.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214107.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214121.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214137.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214144.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214151.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214206.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214226.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214254.jpg,,,SM-G9900,,,2252,4000
Origami/20230622_214315.mp4,,,,,,1080,1920
Origami/20230622_214400.jpg,,,SM-G9900,,,2252,4000
Origami/20230812_115029.jpg,,,SM-G9900,,,2243,1763
Origami/20230812_115032.jpg,,,SM-G9900,,,2400,1586
Origami/20231003_002634.jpg,,,SM-G9900,,,2252,4000
Origami/20231003_002708_01.jpg,,,SM-G9900,,,2252,4000
Origami/20231003_002709_01.jpg,,,SM-G9900,,,2252,4000
Origami/20231003_003225.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_082910.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_082920.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_082945.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_082950.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_083053.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_083125.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_083242.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_124235.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_124256.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_124259.jpg,,,SM-G9900,,,2252,4000
Origami/20240313_124330.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_164926.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165037.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165041.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165046.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165057_01.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165110_01.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165112_01.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165123.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165127.jpg,,,SM-G9900,,,2252,4000
Origami/20240318_111119.jpg,,,SM-G9900,,,2252,4000
Origami/20240318_111137.jpg,,,SM-G9900,,,2951,1659
Origami/20240318_111300.jpg,,,SM-G9900,,,2252,4000
Origami/20240318_112948.jpg,,,SM-G9900,,,2252,4000
Origami/20240318_113008.jpg,,,SM-G9900,,,2252,4000
Origami/20240325_230317.jpg,,,SM-G9900,,,2252,4000
Origami/20240325_230320.jpg,,,SM-G9900,,,2252,4000
Origami/20240325_230327.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185708.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185804.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185806.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185816.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185831.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185901.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190624.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190634.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190637.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190640.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190645.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190649.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190653.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190656.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190744.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190754.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190811.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190816.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125655.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125714.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125742.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125746.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125810.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125820.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125826.jpg,,,SM-G9900,,,2252,4000
Origami/Cat.jpg,Cats,JoNakashima,SM-G9900,Myballs3,,2252,4000
Origami/OrigamiMainTest.jpg,,,SM-G9900,,,2252,4000
Origami/Penguin.jpg,,,SM-G9900,,,2252,4000
Origami/Penguin2.jpg,,,SM-G9900,,,2252,4000
Origami/short image.png,,,SM-G9900,,,1033,2206
Origami/square image.png,,Jo Nakashima,Peacock,This is my folding of the peacock by jo nakashima in the square form,1,2426,2233
Origami/Sun.jpg,,,SM-G9900,,,2252,4000
Origami/Whale.jpg,,,SM-G9900,,,2252,4000
